기준일,예금            ,예금미수이자    ,콜론            ,콜미수이자      ,정기예금        ,정기예금미수이자,REPO            ,REPO미수이자    ,채권            ,채권미수이자    ,외화예금        ,외화정기예금    ,외화예금미수이자,외화채권        ,외화채권미수이자
20250101,2246153208,6677642,0,0,0,0,0,0,0,0,0,0,0,0,0
20250102,2070075158,299179,0,0,0,0,0,0,0,0,0,0,0,0,0
20250103,1920549798,432302,0,0,0,0,0,0,0,0,0,0,0,0,0
20250104,1920549798,565425,0,0,0,0,0,0,0,0,0,0,0,0,0
20250105,1920549798,698548,0,0,0,0,0,0,0,0,0,0,0,0,0
20250106,2980106153,905115,0,0,0,0,0,0,0,0,0,0,0,0,0
20250107,3834228990,1170884,0,0,0,0,0,0,0,0,0,0,0,0,0
20250108,3944491069,1444297,0,0,0,0,0,0,0,0,0,0,0,0,0
20250109,4249095783,1738823,0,0,0,0,0,0,0,0,0,0,0,0,0
20250110,3259141963,1964731,0,0,0,0,0,0,0,0,0,0,0,0,0
20250111,3259141963,2190639,0,0,0,0,0,0,0,0,0,0,0,0,0
20250112,3259141963,2416546,0,0,0,0,0,0,0,0,0,0,0,0,0
20250113,2538362682,2592493,0,0,0,0,0,0,0,0,0,0,0,0,0
20250114,206935054,2606837,0,0,0,0,0,0,0,0,0,0,0,0,0
20250115,2906033339,2808269,0,0,0,0,0,0,0,0,0,0,0,0,0
20250116,2726564668,2997261,0,0,0,0,0,0,0,0,0,0,0,0,0
20250117,3294514698,3225620,0,0,0,0,0,0,0,0,0,0,0,0,0
20250118,3294514698,3453980,0,0,0,0,0,0,0,0,0,0,0,0,0
20250119,3294514698,3682339,0,0,0,0,0,0,0,0,0,0,0,0,0
20250120,2193739709,3834399,0,0,0,0,0,0,0,0,0,0,0,0,0
20250121,2495780087,4007394,0,0,0,0,0,0,0,0,0,0,0,0,0
20250122,2506272587,4181116,0,0,0,0,0,0,0,0,0,0,0,0,0
20250123,2502817924,4354599,0,0,0,0,0,0,0,0,0,0,0,0,0
20250124,1270123489,4442638,0,0,0,0,0,0,0,0,0,0,0,0,0
20250125,1270123489,4530677,0,0,0,0,0,0,0,0,0,0,0,0,0
20250126,1270123489,4618715,0,0,0,0,0,0,0,0,0,0,0,0,0
20250127,1270123489,4706754,0,0,0,0,0,0,0,0,0,0,0,0,0
20250128,1270123489,4794793,0,0,0,0,0,0,0,0,0,0,0,0,0
20250129,1270123489,4882831,0,0,0,0,0,0,0,0,0,0,0,0,0
20250130,1270123489,4970870,0,0,0,0,0,0,0,0,0,0,0,0,0
20250131,2039749117,5112255,0,0,0,0,0,0,0,0,0,0,0,0,0
20250201,2039749117,5253640,0,0,0,0,0,0,0,0,0,0,0,0,0
20250202,2039749117,5395025,0,0,0,0,0,0,0,0,0,0,0,0,0
20250203,258554089,300692,0,0,0,0,0,0,0,0,0,0,0,0,0
20250204,4341983575,601657,0,0,0,0,0,0,0,0,0,0,0,0,0
20250205,3189655412,822748,0,0,0,0,0,0,0,0,0,0,0,0,0
20250206,1903411673,954683,0,0,0,0,0,0,0,0,0,0,0,0,0
20250207,3117980778,1170806,0,0,0,0,0,0,0,0,0,0,0,0,0
20250208,3117980778,1386929,0,0,0,0,0,0,0,0,0,0,0,0,0
20250209,3117980778,1603052,0,0,0,0,0,0,0,0,0,0,0,0,0
20250210,910105863,1666136,0,0,0,0,0,0,0,0,0,0,0,0,0
20250211,2909755660,1867826,0,0,0,0,0,0,0,0,0,0,0,0,0
20250212,4883920612,2206355,0,0,0,0,0,0,0,0,0,0,0,0,0
20250213,1938800988,2340744,0,0,0,0,0,0,0,0,0,0,0,0,0
