기준일,좌수   ,순자산,과세순자산
20250101,3100000,42432491295,39853932163
20250102,3100000,42222545434,39853769789
20250103,3100000,44040329603,39853857888
20250104,3100000,44040414305,39853942590
20250105,3100000,44040499107,39854027392
20250106,3100000,45815035044,39854149071
20250107,3100000,45881053601,39854361070
20250108,3100000,46770675242,39853533426
20250109,3100000,46770351338,39853525906
20250110,3100000,46743577702,39853689141
20250111,3100000,46743752358,39853863797
20250112,3100000,46743927013,39854038452
20250113,3100000,45437987857,39851170320
20250114,2900000,42788006442,37279857033
20250115,2900000,42704308899,37280005731
20250116,2900000,43992125639,37279091663
20250117,2900000,43762916679,37278959270
20250118,2900000,43763097204,37279139795
20250119,2900000,43763277728,37279320319
20250120,2900000,43583036369,37279383724
20250121,2900000,43650889194,37279502670
20250122,2900000,44711383517,37278494774
20250123,2900000,43641279428,37277447348
20250124,2900000,44153914295,37278374021
20250125,2900000,44153954108,37278413834
20250126,2900000,44153994220,37278453946
20250127,2900000,44154034031,37278493757
20250128,2900000,44154073842,37278533568
20250129,2900000,44154113752,37278573478
20250130,2900000,44154153563,37278613289
20250131,2900000,43281604408,37279502307
20250201,2900000,43281698483,37279596382
20250202,2900000,43281792658,37279690557
20250203,2900000,40928688316,37278654414
20250204,3100000,44889334284,39849642143
20250205,3100000,45901498339,39848938156
20250206,3000000,45376802505,38562474770
20250207,3000000,44795728785,38560227347
20250208,3000000,44795895984,38560394546
20250209,3000000,44796063083,38560561645
20250210,2900000,43336373797,37275179767
20250211,2900000,44060768714,37272571288
20250212,3000000,45752951312,38556787858
20250213,2900000,45101998137,37270340453
20250214,2900000,45654660813,37270299789
20250215,2900000,45654872662,37270511638
20250216,2900000,45655084411,37270723387
20250217,2800000,44648510968,35986294558
20250218,2900000,46954585151,37273604315
20250219,2800000,47178986275,35986805177
20250220,2800000,46431233284,35989797735
20250221,2600000,43127993242,33421370658
20250222,2600000,43127987602,33421365018
20250223,2600000,43127981962,33421359378
20250224,2600000,42438612250,33421850929
20250225,2600000,42072253956,33428589108
20250226,2600000,42435118212,33428641267
20250227,2700000,43737597248,34855544098
20250228,2700000,40574460282,34892287353
20250301,2700000,40574541849,34892368920
20250302,2700000,40574623416,34892450487
20250303,2700000,40574705083,34892532154
20250304,2700000,40469087840,34894446930
20250305,2700000,41235737581,34891604278
20250306,2900000,45140396273,37476929501
20250307,2800000,43167380298,36185389636
20250308,2800000,43167421288,36185430626
20250309,2800000,43167462378,36185471716
20250310,2800000,43364095032,36185500123
20250311,2800000,42297372860,36184776295
20250312,2800000,43743010344,36183454597
20250313,2900000,44945070441,37472637842
20250314,2800000,43784561489,36180846798
20250315,2800000,43784590265,36180875574
20250316,2800000,43784618941,36180904250
20250317,2800000,45526865125,36179563173
20250318,2800000,45769012725,36223459315
20250319,2800000,46483226309,36237634462
20250320,2800000,47202280948,36237251947
20250321,2800000,47655455532,36246342597
20250322,2800000,47655655453,36246542518
20250323,2800000,47655855274,36246742339
20250324,2800000,47250817733,36249696931
20250325,2700000,45165010977,34977613114
20250326,2600000,44257138797,33689828053
20250327,2600000,43075490624,33700521635
20250328,2600000,41648987495,33791021379
20250329,2600000,41649033948,33791067832
20250330,2600000,41649080501,33791114385
20250331,2600000,39074136458,33816409277
20250401,2600000,40471330749,33819134451
20250402,2800000,42997905565,36422211206
20250403,2700000,40407387955,35125941843
20250404,2800000,41009911132,36426111520
20250405,2800000,41010067632,36426268020
20250406,2800000,41010224132,36426424520
20250407,3100000,39893198686,40329391998
20250408,3300000,42811870763,42929931578
20250409,3600000,44985728335,46829913533
20250410,3800000,53716788973,49429994431
20250411,3800000,52980424387,49427099608
20250412,3800000,52980814131,49427489352
20250413,3800000,52981202974,49427878195
20250414,4000000,56848450607,52028226301
20250415,3900000,56394942685,50726769665
20250416,3800000,53373808243,49425721018
20250417,3800000,54252152637,49425261801
20250418,3800000,55035300221,49424948953
20250419,3800000,55035663762,49425312494
20250420,3800000,55036027404,49425676136
20250421,3800000,55116534207,49425992961
20250422,3800000,54974248165,49426251429
20250423,3700000,55457697179,48123873627
20250424,3700000,55166522676,48123930195
20250425,3700000,56341440647,48124040736
20250426,3700000,56341558668,48124158757
20250427,3700000,56341677490,48124277579
20250428,3700000,56399284322,48124422437
20250429,3700000,57126507959,48123699221
20250430,3700000,56915203890,48131707217
20250501,3700000,56915387238,48131890565
20250502,3700000,56993593020,48134719456
20250503,3700000,56993712303,48134838739
20250504,3700000,56993831487,48134957923
20250505,3700000,56993950670,48135077106
20250506,3700000,56994069853,48135196289
20250507,3700000,57715618645,48131522268
20250508,3400000,53116224484,44234216666
20250509,3400000,53135190308,44255047732
20250510,3400000,53135329068,44255186492
20250511,3400000,53135467927,44255325351
20250512,3400000,54743486072,44259975644
20250513,3400000,55005936579,44260145432
20250514,3400000,56427587224,44258782750
20250515,3400000,55577134601,44256463205
20250516,3300000,54296837590,42954321273
20250517,3300000,54296791059,42954274742
20250518,3300000,54296744528,42954228211
20250519,3300000,53008750054,42952729174
20250520,3300000,53295871102,42951729116
20250521,3200000,52261086642,41649347940
20250522,3200000,50863552297,41648402199
20250523,3200000,51070330196,41648441628
20250524,3200000,51070380025,41648491457
20250525,3200000,51070429755,41648541187
20250526,3200000,52762168139,41647396814
20250527,3200000,52917775789,41653436697
20250528,3200000,54492850513,41655092653
20250529,3200000,56559390953,41676333134
20250530,3200000,55495627258,41679453570
20250531,3200000,55495798325,41679624637
20250601,3200000,55495969491,41679795803
20250602,3100000,53605365368,40376765763
20250603,3100000,53605331973,40376732368
20250604,3100000,56772546633,40375880005
20250605,3100000,58708728184,40374305714
20250606,3100000,58709048794,40374626324
20250607,3100000,58709369404,40374946934
20250608,3100000,58709690014,40375267544
20250609,3100000,60723463434,40375536403
20250610,3000000,59328231696,39069782262
20250611,2900000,58926482919,37766153386
20250612,2900000,59134229221,37762351656
20250613,2800000,56073208390,36460298403
20250614,2800000,56073311651,36460401664
20250615,2800000,56073414810,36460504823
20250616,2800000,58006229233,36460823427
20250617,2800000,58447630882,36456857644
20250618,2900000,61607118876,37758125296
20250619,2900000,61646444573,37756788156
20250620,2800000,61268730471,36452180759
20250621,2800000,61268853780,36452304068
20250622,2800000,61268977190,36452427478
20250623,2800000,61047414145,36452622663
20250624,2900000,67570916715,37754686076
20250625,2900000,67961331418,37751645934
20250626,2800000,64388559708,36448659484
20250627,2800000,63697707027,36509470957
20250628,2800000,63698086161,36509850091
20250629,2800000,63698465295,36510229225
20250630,2700000,62123117653,35216247026
20250701,2700000,62458827111,35215757494
20250702,2700000,61915274469,35215139326
20250703,2700000,63843887424,35209473728
20250704,2800000,63628940847,36511867425
20250705,2800000,63629375642,36512302220
20250706,2800000,63629810337,36512736915
20250707,2800000,63767248355,36512782746
20250708,2800000,66236875868,36512542957
20250709,2800000,66566317356,36510698196
20250710,2700000,65964185647,35205282950
20250711,2700000,65951655618,35203451212
20250712,2700000,65951984241,35203779835
20250713,2700000,65952312963,35204108557
20250714,2600000,64739510916,33901272618
20250715,2600000,65534881390,33899999259
20250716,2500000,61769713983,32594622504
20250717,2600000,64518202796,33898652821
20250718,2600000,64401760947,33896653225
20250719,2600000,64401943961,33896836239
20250720,2600000,64402126975,33897019253
20250721,2700000,67863495590,35199696745
20250722,2700000,65987785509,35197603112
20250723,2700000,66485932664,35198198448
20250724,2700000,66284929408,35197003324
20250725,2600000,64231542695,33893494425
20250726,2600000,64231639240,33893590970
20250727,2600000,64231735684,33893687414
20250728,2600000,64824411994,33893842319
20250729,2600000,65762684335,33898434604
20250730,2600000,66912937911,33898713259
20250731,2600000,66414417307,33905675200
20250801,2500000,58694423130,32607117916
20250802,2500000,58694381517,32607076303
20250803,2500000,58694340003,32607034789
20250804,2500000,60006218681,32610418689
20250805,2500000,61792918829,32610998323
20250806,2500000,61654785901,32611144293
20250807,2500000,62801577320,32618598081
20250808,2500000,62438268670,32641224657
20250809,2500000,62438447164,32641403151
20250810,2500000,62438625659,32641581646
20250811,2400000,59880041287,31340281753
20250812,2400000,59467016879,31340300454
20250813,2400000,60842968527,31338339595
20250814,2300000,58116040182,30035165153
20250815,2300000,58115918435,30035043406
