결산구분  ,기준일,펀드      ,펀드명    ,매매처명  ,당일보수  ,미지급보수
전기,20240101,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사01,0,-339022
전기,20240101,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사02,75,-22104426
전기,20240101,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사03,0,-2334579
전기,20240101,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사04,0,-57940556
전기,20240101,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사05,51,8888108
전기,20240101,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사06,58,12570242
전기,20240101,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사07,405,11188202
전기,20240101,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사08,99,10586187
전기,20240101,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사09,0,-771017
전기,20240101,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사10,0,-17321879
전기,20240101,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사11,41,2164452
전기,20240101,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사12,99,49595918
전기,20240101,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사13,10,-130199
전기,20240101,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사14,161,24255437
전기,20240101,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사15,161,-510561
전기,20240101,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사16,0,-183
전기,20240101,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사17,0,-1217
전기,20240101,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사18,0,-56
전기,20240101,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사19,0,-17686380
전기,20240102,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사01,0,-339022
전기,20240102,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사02,76,-22104350
전기,20240102,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사03,0,-2334579
전기,20240102,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사04,0,-57940556
전기,20240102,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사05,52,8888160
전기,20240102,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사06,59,12570301
전기,20240102,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사07,408,11188610
전기,20240102,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사08,100,10586287
전기,20240102,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사09,0,-771017
전기,20240102,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사10,0,-17321879
전기,20240102,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사11,41,2164493
전기,20240102,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사12,100,49596018
전기,20240102,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사13,10,-130189
전기,20240102,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사14,163,24255600
전기,20240102,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사15,163,-510398
전기,20240102,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사16,0,-183
전기,20240102,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사17,0,-1217
전기,20240102,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사18,0,-56
전기,20240102,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사19,0,-17686380
전기,20240103,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사01,0,-339022
전기,20240103,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사02,72,-22104278
전기,20240103,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사03,0,-2334579
전기,20240103,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사04,0,-57940556
전기,20240103,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사05,49,8888209
전기,20240103,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사06,55,12570356
전기,20240103,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사07,386,11188996
전기,20240103,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사08,95,10586382
전기,20240103,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사09,0,-771017
전기,20240103,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사10,0,-17321879
전기,20240103,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사11,39,2164532
전기,20240103,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사12,95,49596113
전기,20240103,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사13,9,-130180
전기,20240103,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사14,154,24255754
전기,20240103,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사15,154,-510244
전기,20240103,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사16,0,-183
전기,20240103,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사17,0,-1217
전기,20240103,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사18,0,-56
전기,20240103,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사19,0,-17686380
전기,20240104,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사01,0,-339022
전기,20240104,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사02,70,-22104208
전기,20240104,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사03,0,-2334579
전기,20240104,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사04,0,-57940556
전기,20240104,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사05,48,8888257
전기,20240104,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사06,54,12570410
전기,20240104,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사07,381,11189377
전기,20240104,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사08,93,10586475
전기,20240104,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사09,0,-771017
전기,20240104,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사10,0,-17321879
전기,20240104,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사11,38,2164570
전기,20240104,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사12,93,49596206
전기,20240104,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사13,9,-130171
전기,20240104,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사14,151,24255905
전기,20240104,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사15,151,-510093
전기,20240104,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사16,0,-183
전기,20240104,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사17,0,-1217
전기,20240104,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사18,0,-56
전기,20240104,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사19,0,-17686380
전기,20240105,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사01,0,-339022
전기,20240105,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사02,70,-22104138
전기,20240105,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사03,0,-2334579
전기,20240105,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사04,0,-57940556
전기,20240105,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사05,47,8888304
전기,20240105,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사06,54,12570464
전기,20240105,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사07,378,11189755
전기,20240105,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사08,92,10586567
전기,20240105,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사09,0,-771017
전기,20240105,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사10,0,-17321879
전기,20240105,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사11,38,2164608
전기,20240105,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사12,92,49596298
전기,20240105,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사13,9,-130162
전기,20240105,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사14,150,24256055
전기,20240105,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사15,150,-509943
전기,20240105,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사16,0,-183
전기,20240105,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사17,0,-1217
전기,20240105,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사18,0,-56
전기,20240105,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사19,0,-17686380
전기,20240106,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사01,0,-339022
전기,20240106,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사02,70,-22104068
전기,20240106,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사03,0,-2334579
전기,20240106,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사04,0,-57940556
전기,20240106,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사05,47,8888351
전기,20240106,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사06,54,12570518
전기,20240106,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사07,378,11190133
전기,20240106,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사08,92,10586659
전기,20240106,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사09,0,-771017
전기,20240106,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사10,0,-17321879
전기,20240106,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사11,38,2164646
전기,20240106,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사12,92,49596390
전기,20240106,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사13,9,-130153
전기,20240106,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사14,150,24256205
전기,20240106,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사15,150,-509793
전기,20240106,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사16,0,-183
전기,20240106,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사17,0,-1217
전기,20240106,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사18,0,-56
전기,20240106,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사19,0,-17686380
전기,20240107,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사01,0,-339022
전기,20240107,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사02,70,-22103998
전기,20240107,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사03,0,-2334579
전기,20240107,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사04,0,-57940556
전기,20240107,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사05,47,8888398
전기,20240107,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사06,54,12570572
전기,20240107,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사07,378,11190511
전기,20240107,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사08,92,10586751
전기,20240107,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사09,0,-771017
전기,20240107,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사10,0,-17321879
전기,20240107,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사11,38,2164684
전기,20240107,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사12,92,49596482
전기,20240107,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사13,9,-130144
전기,20240107,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사14,150,24256355
전기,20240107,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사15,150,-509643
전기,20240107,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사16,0,-183
전기,20240107,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사17,0,-1217
전기,20240107,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사18,0,-56
전기,20240107,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사19,0,-17686380
전기,20240108,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사01,0,-339022
전기,20240108,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사02,72,-22103926
전기,20240108,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사03,0,-2334579
